ORIGIN,DEST,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,YEAR,MONTH,CLASS
ART,BDA,2T,BermudAir,6.00,426.00,154.00,0.00,772.00,2026,1,F
BDA,ART,2T,BermudAir,6.00,426.00,206.00,0.00,772.00,2026,1,F
ZRH,ART,LX,Swiss International Airlines,6.00,1416.00,982.00,141764.00,3745.00,2026,1,F
LHR,ART,BA,British Airways Plc,6.00,1524.00,1481.00,108869.00,3265.00,2026,1,F
ART,ZRH,LX,Swiss International Airlines,7.00,1652.00,1207.00,90737.00,3745.00,2026,1,F
ART,LHR,VS,Virgin Atlantic Airways,7.00,1848.00,1026.00,50488.00,3265.00,2026,2,F
ART,LHR,BA,British Airways Plc,7.00,1778.00,1216.00,2215.00,3265.00,2026,1,F
VIE,ART,OS,Austrian Airlines,7.00,1477.00,607.00,46233.00,4053.00,2026,2,F
ART,VIE,OS,Austrian Airlines,7.00,1477.00,956.00,25975.00,4053.00,2026,2,F
AXA,ART,2T,BermudAir,8.00,768.00,384.00,0.00,1729.00,2026,2,F
ART,AXA,2T,BermudAir,8.00,768.00,387.00,0.00,1729.00,2026,2,F
ART,BDA,2T,BermudAir,8.00,768.00,438.00,0.00,772.00,2026,2,F
ART,PTY,CM,Compania Panamena (Copa),8.00,1328.00,1129.00,0.00,2348.00,2026,1,F
ART,PTY,CM,Compania Panamena (Copa),8.00,1328.00,1246.00,568.00,2348.00,2026,2,F
PTY,ART,CM,Compania Panamena (Copa),8.00,1328.00,1265.00,1921.00,2348.00,2026,1,F
PTY,ART,CM,Compania Panamena (Copa),8.00,1328.00,1109.00,5524.00,2348.00,2026,2,F
ZRH,ART,LX,Swiss International Airlines,8.00,1888.00,1276.00,237714.00,3745.00,2026,2,F
ART,ZRH,LX,Swiss International Airlines,8.00,1888.00,1568.00,79031.00,3745.00,2026,2,F
ART,FRA,LH,Lufthansa German Airlines,8.00,2248.00,2080.00,95251.00,3669.00,2026,1,F
LHR,ART,VS,Virgin Atlantic Airways,8.00,2112.00,1498.00,218893.00,3265.00,2026,2,F
AMS,ART,KL,Klm Royal Dutch Airlines,8.00,2304.00,1804.00,241173.00,3457.00,2026,1,F
ART,AXA,2T,BermudAir,9.00,864.00,315.00,0.00,1729.00,2026,1,F
AXA,ART,2T,BermudAir,9.00,864.00,359.00,0.00,1729.00,2026,1,F
FRA,ART,LH,Lufthansa German Airlines,9.00,2529.00,2463.00,107679.00,3669.00,2026,1,F
AMS,ART,KL,Klm Royal Dutch Airlines,9.00,2586.00,1631.00,285985.00,3457.00,2026,2,F
ART,AMS,KL,Klm Royal Dutch Airlines,9.00,2586.00,1905.00,91850.00,3457.00,2026,2,F
ART,AMS,KL,Klm Royal Dutch Airlines,9.00,2592.00,1911.00,70272.00,3457.00,2026,1,F
ART,GRU,JJ,TAM Linhas Aereas SA dba Latam Airlines Brasil,9.00,2696.00,2365.00,47533.00,4790.00,2026,2,F
ART,BDA,2T,BermudAir,10.00,960.00,403.00,0.00,772.00,2026,1,F
BDA,ART,2T,BermudAir,10.00,960.00,441.00,0.00,772.00,2026,1,F
