ORIGIN,DEST,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,YEAR,MONTH,CLASS
PUJ,ART,B6,JetBlue Airways,1.00,200.00,196.00,0.00,1646.00,2026,1,F
AUA,ART,B6,JetBlue Airways,1.00,200.00,200.00,0.00,2057.00,2026,1,F
DEL,ART,AA,American Airlines Inc.,1.00,284.00,266.00,0.00,7146.00,2026,2,F
PLS,ART,DL,Delta Air Lines Inc.,2.00,320.00,167.00,0.00,1421.00,2026,2,F
BDA,ART,B6,JetBlue Airways,2.00,324.00,269.00,0.00,772.00,2026,2,F
ART,NAS,DL,Delta Air Lines Inc.,1.00,109.00,105.00,0.00,1250.00,2026,2,F
NAS,ART,DL,Delta Air Lines Inc.,1.00,109.00,109.00,0.00,1250.00,2026,2,F
ART,SXM,B6,JetBlue Airways,1.00,162.00,132.00,0.00,1739.00,2026,2,F
SXM,ART,B6,JetBlue Airways,1.00,162.00,139.00,0.00,1739.00,2026,2,F
CUN,ART,NK,Spirit Air Lines,2.00,352.00,326.00,0.00,1734.00,2026,2,F
ART,MBJ,B6,JetBlue Airways,2.00,280.00,131.00,0.00,1693.00,2026,1,F
STI,ART,B6,JetBlue Airways,2.00,280.00,188.00,0.00,1582.00,2026,2,F
ART,PUJ,B6,JetBlue Airways,2.00,280.00,206.00,0.00,1646.00,2026,1,F
MBJ,ART,B6,JetBlue Airways,2.00,280.00,226.00,0.00,1693.00,2026,1,F
ART,STI,B6,JetBlue Airways,2.00,280.00,264.00,0.00,1582.00,2026,2,F
PUJ,ART,B6,JetBlue Airways,2.00,280.00,271.00,0.00,1646.00,2026,1,F
ART,UVF,B6,JetBlue Airways,2.00,324.00,197.00,0.00,2061.00,2026,1,F
UVF,ART,B6,JetBlue Airways,2.00,324.00,313.00,0.00,2061.00,2026,1,F
UVF,ART,B6,JetBlue Airways,2.00,318.00,281.00,0.00,2061.00,2026,2,F
ART,UVF,B6,JetBlue Airways,2.00,318.00,281.00,0.00,2061.00,2026,2,F
UVF,ART,B6,JetBlue Airways,2.00,320.00,278.00,0.00,2061.00,2026,2,F
ART,UVF,B6,JetBlue Airways,2.00,320.00,306.00,0.00,2061.00,2026,2,F
MBJ,ART,B6,JetBlue Airways,2.00,400.00,210.00,0.00,1693.00,2026,2,F
ART,MBJ,B6,JetBlue Airways,2.00,400.00,345.00,0.00,1693.00,2026,2,F
CUN,ART,B6,JetBlue Airways,2.00,400.00,349.00,0.00,1734.00,2026,2,F
ART,PUJ,B6,JetBlue Airways,2.00,400.00,390.00,0.00,1646.00,2026,2,F
PUJ,ART,B6,JetBlue Airways,2.00,400.00,397.00,0.00,1646.00,2026,2,F
ART,CUN,B6,JetBlue Airways,2.00,400.00,397.00,0.00,1734.00,2026,2,F
ART,DUB,DL,Delta Air Lines Inc.,2.00,562.00,466.00,11860.00,2993.00,2026,1,F
DUB,ART,DL,Delta Air Lines Inc.,2.00,562.00,551.00,4815.00,2993.00,2026,1,F
POP,ART,B6,JetBlue Airways,2.00,324.00,303.00,0.00,1558.00,2026,2,F
ART,CUN,NK,Spirit Air Lines,3.00,528.00,390.00,0.00,1734.00,2026,2,F
PUJ,ART,AA,American Airlines Inc.,3.00,450.00,391.00,0.00,1646.00,2026,2,F
ART,PUJ,AA,American Airlines Inc.,3.00,450.00,432.00,0.00,1646.00,2026,2,F
UVF,ART,B6,JetBlue Airways,3.00,486.00,301.00,0.00,2061.00,2026,2,F
ART,UVF,B6,JetBlue Airways,3.00,486.00,302.00,0.00,2061.00,2026,2,F
ART,POP,B6,JetBlue Airways,3.00,486.00,410.00,0.00,1558.00,2026,2,F
PLS,ART,B6,JetBlue Airways,3.00,486.00,432.00,0.00,1421.00,2026,2,F
ART,PLS,B6,JetBlue Airways,3.00,486.00,436.00,0.00,1421.00,2026,2,F
ART,CUN,AA,American Airlines Inc.,3.00,588.00,521.00,0.00,1734.00,2026,2,F
CUN,ART,AA,American Airlines Inc.,3.00,588.00,531.00,0.00,1734.00,2026,2,F
LIR,ART,B6,JetBlue Airways,3.00,480.00,404.00,0.00,2358.00,2026,2,F
ART,LIR,B6,JetBlue Airways,3.00,480.00,462.00,0.00,2358.00,2026,2,F
PLS,ART,AA,American Airlines Inc.,3.00,570.00,470.00,0.00,1421.00,2026,2,F
ART,PUJ,AA,American Airlines Inc.,3.00,570.00,415.00,0.00,1646.00,2026,1,F
ART,LIS,DL,Delta Air Lines Inc.,3.00,645.00,495.00,225.00,3192.00,2026,1,F
ART,FCO,DL,Delta Air Lines Inc.,3.00,842.00,671.00,7453.00,4093.00,2026,1,F
ART,AUA,DL,Delta Air Lines Inc.,3.00,540.00,399.00,0.00,2057.00,2026,1,F
AUA,ART,DL,Delta Air Lines Inc.,3.00,540.00,483.00,0.00,2057.00,2026,1,F
ART,POP,B6,JetBlue Airways,4.00,560.00,520.00,0.00,1558.00,2026,1,F
GCM,ART,B6,JetBlue Airways,4.00,560.00,526.00,0.00,1701.00,2026,2,F
ART,GCM,B6,JetBlue Airways,4.00,560.00,534.00,0.00,1701.00,2026,2,F
POP,ART,B6,JetBlue Airways,4.00,560.00,541.00,0.00,1558.00,2026,1,F
ART,CUN,AA,American Airlines Inc.,4.00,688.00,353.00,0.00,1734.00,2026,1,F
SXM,ART,B6,JetBlue Airways,4.00,648.00,368.00,0.00,1739.00,2026,1,F
ART,PUJ,B6,JetBlue Airways,4.00,648.00,416.00,0.00,1646.00,2026,1,F
ART,SXM,B6,JetBlue Airways,4.00,648.00,495.00,0.00,1739.00,2026,1,F
PUJ,ART,B6,JetBlue Airways,4.00,648.00,611.00,0.00,1646.00,2026,1,F
PUJ,ART,AA,American Airlines Inc.,4.00,760.00,672.00,573.00,1646.00,2026,1,F
ART,PLS,AA,American Airlines Inc.,4.00,760.00,646.00,0.00,1421.00,2026,1,F
LIR,ART,B6,JetBlue Airways,4.00,640.00,534.00,0.00,2358.00,2026,1,F
ART,LIR,B6,JetBlue Airways,4.00,640.00,614.00,0.00,2358.00,2026,1,F
ART,PLS,AA,American Airlines Inc.,4.00,760.00,659.00,0.00,1421.00,2026,2,F
ART,CUN,AA,American Airlines Inc.,4.00,760.00,665.00,0.00,1734.00,2026,1,F
CUN,ART,AA,American Airlines Inc.,4.00,760.00,707.00,0.00,1734.00,2026,1,F
NAS,ART,B6,JetBlue Airways,4.00,759.00,437.00,0.00,1250.00,2026,1,F
ART,NAS,B6,JetBlue Airways,4.00,759.00,553.00,0.00,1250.00,2026,1,F
LIR,ART,DL,Delta Air Lines Inc.,4.00,774.00,645.00,0.00,2358.00,2026,2,F
ART,LIR,DL,Delta Air Lines Inc.,4.00,775.00,705.00,0.00,2358.00,2026,2,F
LIS,ART,DL,Delta Air Lines Inc.,4.00,860.00,831.00,14128.00,3192.00,2026,1,F
FCO,ART,DL,Delta Air Lines Inc.,4.00,1122.00,1103.00,9255.00,4093.00,2026,1,F
ART,PLS,DL,Delta Air Lines Inc.,4.00,639.00,506.00,0.00,1421.00,2026,1,F
PLS,ART,DL,Delta Air Lines Inc.,4.00,640.00,456.00,0.00,1421.00,2026,1,F
SDQ,ART,B6,JetBlue Airways,4.00,648.00,475.00,0.00,1651.00,2026,2,F
BGI,ART,B6,JetBlue Airways,4.00,636.00,518.00,0.00,2132.00,2026,1,F
ART,BGI,B6,JetBlue Airways,4.00,636.00,553.00,0.00,2132.00,2026,1,F
UVF,ART,B6,JetBlue Airways,4.00,640.00,563.00,0.00,2061.00,2026,1,F
ART,UVF,B6,JetBlue Airways,4.00,640.00,593.00,0.00,2061.00,2026,1,F
ART,NAS,B6,JetBlue Airways,5.00,700.00,461.00,0.00,1250.00,2026,1,F
CUN,ART,B6,JetBlue Airways,5.00,700.00,498.00,0.00,1734.00,2026,2,F
ART,CUN,B6,JetBlue Airways,5.00,700.00,597.00,0.00,1734.00,2026,2,F
ART,GCM,B6,JetBlue Airways,5.00,700.00,635.00,0.00,1701.00,2026,1,F
GCM,ART,B6,JetBlue Airways,5.00,700.00,662.00,0.00,1701.00,2026,1,F
NAS,ART,B6,JetBlue Airways,5.00,700.00,674.00,0.00,1250.00,2026,1,F
CUN,ART,AA,American Airlines Inc.,5.00,860.00,823.00,0.00,1734.00,2026,1,F
ART,PUJ,AA,American Airlines Inc.,5.00,860.00,290.00,0.00,1646.00,2026,1,F
PUJ,ART,AA,American Airlines Inc.,5.00,860.00,837.00,0.00,1646.00,2026,1,F
BGI,ART,B6,JetBlue Airways,5.00,810.00,439.00,0.00,2132.00,2026,1,F
ART,BGI,B6,JetBlue Airways,5.00,810.00,480.00,0.00,2132.00,2026,1,F
ART,SDQ,B6,JetBlue Airways,5.00,810.00,705.00,0.00,1651.00,2026,2,F
PLS,ART,DL,Delta Air Lines Inc.,5.00,900.00,650.00,0.00,1421.00,2026,2,F
ART,PLS,DL,Delta Air Lines Inc.,5.00,900.00,790.00,0.00,1421.00,2026,2,F
PLS,ART,AA,American Airlines Inc.,5.00,950.00,688.00,0.00,1421.00,2026,1,F
ART,SXM,B6,JetBlue Airways,5.00,1000.00,685.00,0.00,1739.00,2026,1,F
SXM,ART,B6,JetBlue Airways,5.00,1000.00,967.00,0.00,1739.00,2026,1,F
ART,LIR,DL,Delta Air Lines Inc.,5.00,968.00,907.00,0.00,2358.00,2026,1,F
LIR,ART,DL,Delta Air Lines Inc.,5.00,970.00,863.00,0.00,2358.00,2026,1,F
MBJ,ART,B6,JetBlue Airways,5.00,810.00,547.00,0.00,1693.00,2026,2,F
ART,MBJ,B6,JetBlue Airways,5.00,810.00,549.00,0.00,1693.00,2026,1,F
ART,PLS,B6,JetBlue Airways,5.00,810.00,605.00,0.00,1421.00,2026,1,F
ART,MBJ,B6,JetBlue Airways,5.00,810.00,652.00,0.00,1693.00,2026,2,F
LIR,ART,B6,JetBlue Airways,6.00,972.00,567.00,0.00,2358.00,2026,2,F
ART,LIR,B6,JetBlue Airways,6.00,972.00,762.00,0.00,2358.00,2026,2,F
MBJ,ART,B6,JetBlue Airways,6.00,972.00,817.00,0.00,1693.00,2026,1,F
PLS,ART,B6,JetBlue Airways,6.00,972.00,888.00,0.00,1421.00,2026,1,F
ART,CUN,B6,JetBlue Airways,6.00,1200.00,839.00,0.00,1734.00,2026,1,F
CUN,ART,B6,JetBlue Airways,6.00,1200.00,1178.00,0.00,1734.00,2026,1,F
DUB,ART,DL,Delta Air Lines Inc.,5.00,1075.00,639.00,39279.00,2993.00,2026,2,F
ART,CUN,B6,JetBlue Airways,6.00,972.00,846.00,0.00,1734.00,2026,2,F
CUN,ART,B6,JetBlue Airways,7.00,1134.00,1090.00,0.00,1734.00,2026,2,F
ART,BGI,B6,JetBlue Airways,7.00,1236.00,965.00,0.00,2132.00,2026,2,F
BGI,ART,B6,JetBlue Airways,7.00,1236.00,980.00,0.00,2132.00,2026,2,F
ART,DUB,DL,Delta Air Lines Inc.,6.00,1290.00,970.00,17419.00,2993.00,2026,2,F
ART,NAS,B6,JetBlue Airways,7.00,980.00,861.00,0.00,1250.00,2026,2,F
ART,SDQ,B6,JetBlue Airways,8.00,1120.00,898.00,0.00,1651.00,2026,1,F
SDQ,ART,B6,JetBlue Airways,8.00,1120.00,1026.00,0.00,1651.00,2026,1,F
NAS,ART,B6,JetBlue Airways,8.00,1120.00,1039.00,0.00,1250.00,2026,2,F
SXM,ART,B6,JetBlue Airways,8.00,1395.00,1148.00,0.00,1739.00,2026,2,F
PLS,ART,B6,JetBlue Airways,8.00,1600.00,1036.00,0.00,1421.00,2026,2,F
ART,PLS,B6,JetBlue Airways,8.00,1600.00,1424.00,0.00,1421.00,2026,2,F
LIS,ART,DL,Delta Air Lines Inc.,8.00,1720.00,1381.00,105850.00,3192.00,2026,2,F
NAS,ART,B6,JetBlue Airways,8.00,1296.00,638.00,0.00,1250.00,2026,2,F
ART,SXM,B6,JetBlue Airways,8.00,1600.00,1475.00,0.00,1739.00,2026,2,F
ART,LIS,DL,Delta Air Lines Inc.,8.00,1720.00,1403.00,0.00,3192.00,2026,2,F
ART,NAS,B6,JetBlue Airways,9.00,1458.00,1112.00,0.00,1250.00,2026,2,F
ART,AMS,B6,JetBlue Airways,10.00,1380.00,715.00,0.00,3457.00,2026,1,F
AMS,ART,B6,JetBlue Airways,10.00,1380.00,976.00,0.00,3457.00,2026,1,F
ART,SXM,B6,JetBlue Airways,10.00,1795.00,1602.00,0.00,1739.00,2026,2,F
ART,STI,B6,JetBlue Airways,11.00,1782.00,1390.00,0.00,1582.00,2026,2,F
SDQ,ART,B6,JetBlue Airways,10.00,1400.00,1222.00,0.00,1651.00,2026,2,F
NAS,ART,DL,Delta Air Lines Inc.,10.00,1800.00,1475.00,0.00,1250.00,2026,2,F
ART,NAS,DL,Delta Air Lines Inc.,10.00,1800.00,1626.00,580.00,1250.00,2026,2,F
SXM,ART,B6,JetBlue Airways,10.00,2000.00,1487.00,0.00,1739.00,2026,2,F
ART,SDQ,B6,JetBlue Airways,11.00,1540.00,1442.00,0.00,1651.00,2026,2,F
STI,ART,B6,JetBlue Airways,11.00,1782.00,1447.00,0.00,1582.00,2026,2,F
MBJ,ART,DL,Delta Air Lines Inc.,11.00,1980.00,1422.00,0.00,1693.00,2026,2,F
ART,MBJ,DL,Delta Air Lines Inc.,11.00,1980.00,1641.00,0.00,1693.00,2026,2,F
SDQ,ART,NK,Spirit Air Lines,12.00,2112.00,1258.00,0.00,1651.00,2026,2,F
STI,ART,B6,JetBlue Airways,12.00,1680.00,1589.00,0.00,1582.00,2026,1,F
ART,STI,B6,JetBlue Airways,13.00,1820.00,1637.00,0.00,1582.00,2026,1,F
LIR,ART,B6,JetBlue Airways,11.00,1540.00,1272.00,0.00,2358.00,2026,2,F
BDA,ART,B6,JetBlue Airways,12.00,1680.00,899.00,0.00,772.00,2026,2,F
ART,BDA,B6,JetBlue Airways,12.00,1680.00,952.00,0.00,772.00,2026,2,F
ART,LIR,B6,JetBlue Airways,12.00,1680.00,1590.00,0.00,2358.00,2026,2,F
NAS,ART,B6,JetBlue Airways,12.00,2400.00,1747.00,0.00,1250.00,2026,2,F
ART,MBJ,DL,Delta Air Lines Inc.,13.00,2340.00,1443.00,0.00,1693.00,2026,1,F
MBJ,ART,DL,Delta Air Lines Inc.,13.00,2340.00,1871.00,0.00,1693.00,2026,1,F
ART,NAS,B6,JetBlue Airways,13.00,2600.00,2408.00,0.00,1250.00,2026,2,F
ART,SDQ,NK,Spirit Air Lines,14.00,2464.00,1084.00,0.00,1651.00,2026,2,F
ART,SDQ,B6,JetBlue Airways,14.00,2268.00,1711.00,0.00,1651.00,2026,1,F
ART,LIR,B6,JetBlue Airways,12.00,1944.00,1306.00,0.00,2358.00,2026,1,F
LIR,ART,B6,JetBlue Airways,12.00,1944.00,1698.00,0.00,2358.00,2026,1,F
SDQ,ART,B6,JetBlue Airways,14.00,2268.00,1908.00,6787.00,1651.00,2026,1,F
SXM,ART,B6,JetBlue Airways,13.00,2395.00,1811.00,0.00,1739.00,2026,1,F
ART,NAS,DL,Delta Air Lines Inc.,14.00,2520.00,1813.00,25.00,1250.00,2026,1,F
NAS,ART,DL,Delta Air Lines Inc.,14.00,2520.00,1882.00,0.00,1250.00,2026,1,F
ART,SXM,B6,JetBlue Airways,14.00,2595.00,1846.00,0.00,1739.00,2026,1,F
PUJ,ART,B6,JetBlue Airways,15.00,3000.00,2462.00,0.00,1646.00,2026,2,F
ART,PUJ,B6,JetBlue Airways,15.00,3000.00,2579.00,0.00,1646.00,2026,2,F
AUA,ART,B6,JetBlue Airways,15.00,2430.00,2230.00,0.00,2057.00,2026,1,F
ART,AUA,B6,JetBlue Airways,14.00,2268.00,1868.00,0.00,2057.00,2026,1,F
BDA,ART,B6,JetBlue Airways,17.00,2380.00,1186.00,0.00,772.00,2026,1,F
ART,BDA,B6,JetBlue Airways,17.00,2380.00,1271.00,0.00,772.00,2026,1,F
LHR,ART,AA,American Airlines Inc.,21.00,5712.00,3577.00,638539.00,3265.00,2026,2,F
ART,LHR,AA,American Airlines Inc.,21.00,5712.00,3832.00,201494.00,3265.00,2026,2,F
ART,STI,B6,JetBlue Airways,22.00,3564.00,2722.00,0.00,1582.00,2026,1,F
STI,ART,B6,JetBlue Airways,22.00,3564.00,3146.00,0.00,1582.00,2026,1,F
STI,ART,B6,JetBlue Airways,25.00,5000.00,4519.00,0.00,1582.00,2026,1,F
ART,STI,B6,JetBlue Airways,26.00,5200.00,2900.00,0.00,1582.00,2026,1,F
ART,AUA,DL,Delta Air Lines Inc.,26.00,5044.00,3904.00,0.00,2057.00,2026,1,F
AUA,ART,DL,Delta Air Lines Inc.,26.00,5044.00,4190.00,0.00,2057.00,2026,1,F
AUA,ART,DL,Delta Air Lines Inc.,23.00,4462.00,3682.00,0.00,2057.00,2026,2,F
AUA,ART,B6,JetBlue Airways,24.00,3888.00,3333.00,0.00,2057.00,2026,2,F
AMS,ART,DL,Delta Air Lines Inc.,25.00,7019.00,5076.00,625168.00,3457.00,2026,2,F
ART,AUA,B6,JetBlue Airways,26.00,4212.00,3754.00,0.00,2057.00,2026,2,F
ART,CUN,DL,Delta Air Lines Inc.,26.00,4678.00,4194.00,0.00,1734.00,2026,2,F
CUN,ART,DL,Delta Air Lines Inc.,26.00,4679.00,4174.00,32115.00,1734.00,2026,2,F
ART,CDG,B6,JetBlue Airways,26.00,3588.00,2585.00,0.00,3449.00,2026,2,F
CDG,ART,B6,JetBlue Airways,26.00,3588.00,2875.00,0.00,3449.00,2026,2,F
ART,LHR,B6,JetBlue Airways,26.00,3610.00,2292.00,0.00,3265.00,2026,2,F
ART,AMS,B6,JetBlue Airways,26.00,3610.00,2304.00,0.00,3457.00,2026,2,F
LHR,ART,B6,JetBlue Airways,26.00,3610.00,2518.00,0.00,3265.00,2026,2,F
AMS,ART,B6,JetBlue Airways,26.00,3610.00,2607.00,0.00,3457.00,2026,2,F
ART,AUA,DL,Delta Air Lines Inc.,26.00,5043.00,4284.00,734.00,2057.00,2026,2,F
ART,AMS,DL,Delta Air Lines Inc.,26.00,7302.00,6516.00,216976.00,3457.00,2026,2,F
CDG,ART,DL,Delta Air Lines Inc.,27.00,7582.00,5937.00,422063.00,3449.00,2026,2,F
LHR,ART,DL,Delta Air Lines Inc.,27.00,7584.00,3793.00,443469.00,3265.00,2026,2,F
ART,LHR,DL,Delta Air Lines Inc.,27.00,7585.00,4733.00,148238.00,3265.00,2026,2,F
ART,CDG,DL,Delta Air Lines Inc.,27.00,7586.00,6350.00,246955.00,3449.00,2026,2,F
ART,PUJ,DL,Delta Air Lines Inc.,28.00,5038.00,4516.00,0.00,1646.00,2026,2,F
PUJ,ART,DL,Delta Air Lines Inc.,28.00,5039.00,4197.00,0.00,1646.00,2026,2,F
ART,PUJ,B6,JetBlue Airways,28.00,5600.00,3857.00,0.00,1646.00,2026,1,F
PUJ,ART,B6,JetBlue Airways,28.00,5600.00,5244.00,0.00,1646.00,2026,1,F
ART,AMS,DL,Delta Air Lines Inc.,27.00,7584.00,6725.00,224852.00,3457.00,2026,1,F
AMS,ART,DL,Delta Air Lines Inc.,27.00,7586.00,6533.00,458517.00,3457.00,2026,1,F
ART,LHR,B6,JetBlue Airways,29.00,4002.00,2713.00,0.00,3265.00,2026,1,F
ART,LHR,AA,American Airlines Inc.,29.00,7888.00,4990.00,194680.00,3265.00,2026,1,F
PUJ,ART,DL,Delta Air Lines Inc.,30.00,5397.00,4994.00,0.00,1646.00,2026,1,F
ART,PUJ,DL,Delta Air Lines Inc.,30.00,5399.00,4499.00,0.00,1646.00,2026,1,F
ART,CDG,B6,JetBlue Airways,30.00,4140.00,2642.00,0.00,3449.00,2026,1,F
LHR,ART,B6,JetBlue Airways,30.00,4140.00,3157.00,0.00,3265.00,2026,1,F
CDG,ART,B6,JetBlue Airways,30.00,4140.00,3422.00,0.00,3449.00,2026,1,F
LHR,ART,DL,Delta Air Lines Inc.,30.00,8424.00,5384.00,294083.00,3265.00,2026,1,F
ART,LHR,DL,Delta Air Lines Inc.,30.00,8428.00,5208.00,103438.00,3265.00,2026,1,F
ART,CDG,DL,Delta Air Lines Inc.,30.00,8429.00,7078.00,238417.00,3449.00,2026,1,F
CDG,ART,DL,Delta Air Lines Inc.,30.00,8430.00,7666.00,334774.00,3449.00,2026,1,F
PUJ,ART,B6,JetBlue Airways,28.00,4488.00,3615.00,0.00,1646.00,2026,2,F
ART,PUJ,B6,JetBlue Airways,29.00,4650.00,4371.00,0.00,1646.00,2026,2,F
LHR,ART,AA,American Airlines Inc.,30.00,8157.00,5811.00,767673.00,3265.00,2026,1,F
STI,ART,B6,JetBlue Airways,30.00,6000.00,4260.00,0.00,1582.00,2026,2,F
ART,STI,B6,JetBlue Airways,30.00,6000.00,4451.00,0.00,1582.00,2026,2,F
CUN,ART,DL,Delta Air Lines Inc.,34.00,6118.00,5685.00,39619.00,1734.00,2026,1,F
ART,CUN,DL,Delta Air Lines Inc.,34.00,6120.00,5111.00,0.00,1734.00,2026,1,F
CUN,ART,B6,JetBlue Airways,36.00,7200.00,6389.00,0.00,1734.00,2026,2,F
ART,CUN,B6,JetBlue Airways,37.00,7400.00,6897.00,0.00,1734.00,2026,2,F
ART,CUN,B6,JetBlue Airways,42.00,8400.00,6805.00,0.00,1734.00,2026,1,F
CUN,ART,B6,JetBlue Airways,42.00,8400.00,7790.00,0.00,1734.00,2026,1,F
AUA,ART,B6,JetBlue Airways,45.00,8836.00,6904.00,0.00,2057.00,2026,2,F
ART,AUA,B6,JetBlue Airways,46.00,9036.00,8224.00,0.00,2057.00,2026,2,F
ART,SDQ,B6,JetBlue Airways,46.00,9200.00,7164.00,9260.00,1651.00,2026,2,F
SDQ,ART,B6,JetBlue Airways,47.00,9400.00,7292.00,10411.00,1651.00,2026,2,F
ART,SDQ,B6,JetBlue Airways,54.00,10800.00,7942.00,1780.00,1651.00,2026,1,F
SDQ,ART,B6,JetBlue Airways,53.00,10600.00,9986.00,0.00,1651.00,2026,1,F
ART,AUA,B6,JetBlue Airways,57.00,11154.00,9085.00,0.00,2057.00,2026,1,F
AUA,ART,B6,JetBlue Airways,58.00,11354.00,9731.00,0.00,2057.00,2026,1,F
